Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,2325,,NZ Dollars (millions),12,5.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2024,2682,R,NZ Dollars (millions),12,6.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2016,13,,NZ Dollars (millions),3 and 12,25.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2018,19,,NZ Dollars (millions),12,51.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2020,31,,NZ Dollars (millions),12,43.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2022,25,,NZ Dollars (millions),12,51.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2024,25,,NZ Dollars (millions),12,37.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,N_Administrative and Support Services,2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2016,25,,NZ Dollars (millions),3 and 12,29.9
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2018,36,,NZ Dollars (millions),3 and 12,58.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2020,31,,NZ Dollars (millions),3 and 12,43.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2022,48,,NZ Dollars (millions),3 and 12,34.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2023,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2024,41,,NZ Dollars (millions),3 and 12,16
_01_Total_RD_Expenditure,ANZSIC_1_Digit,O_Public Administration and Safety,2025,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2016,877,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2018,960,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2020,1202,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2022,1254,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2023,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2024,1349,,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,ANZSIC_1_Digit,P_Education and Training,2025,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,37,,NZ Dollars (millions),12,81.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2018,40,,NZ Dollars (millions),12,36.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2020,70,,NZ Dollars (millions),12,25.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2022,66,,NZ Dollars (millions),12,19.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2024,66,,NZ Dollars (millions),12,13.9
_01_Total_RD_Expenditure,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2016,32,,NZ Dollars (millions),3 and 12,134.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2018,6,,NZ Dollars (millions),3 and 12,72.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,R_Arts and Recreation Services,2020,63,,NZ Dollars (millions),3 and 12,4.4
